Name,Title,Total Episodes,Rating (0-10),Genres,Tags,Status,Source,Start Date,End Date,Duration (mins),Studio,Popularity,Description,ImageURL,Link,Note,My rating,Finished?,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
CastleVania nocturne  ,CastleVania Nocturne  ,16,7.4,"Action, Dark Fantasy","Vampires, French Revolution",Ongoing,Video Game,2023-09-28,,28,Powerhouse Animation Studios,90800,"During the French Revolution, vampire hunter prodigy Richter Belmont fights to uphold his family's legacy and prevent the rise of a ruthless, power-hungry vampire.",https://m.media-amazon.com/images/M/MV5BODJhZDcxMWItNmI3MC00NGZhLWI2YmMtYjc2ZDFkYjRiYTQ0XkEyXkFqcGc@._V1_.jpg,https://www.imdb.com/title/tt14833612/,Manual,9.3,Yes,,,,,,,
Hunter x Hunter [anilist:11061],Hunter x Hunter (2011),148,8.9,"Action, Adventure, Fantasy","Shounen, Super Power, Male Protagonist, Travel, Philosophy, Ensemble Cast, Martial Arts, Primarily Male Cast, Anthropomorphism, Primarily Teen Cast, Coming of Age, Criminal Organization",Finished,Manga,2011-10-02,2014-09-24,24,MADHOUSE,826616,"A new adaption of the manga of the same name by Togashi Yoshihiro. A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him. After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapika, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx11061-y5gsT1hoHuHw.png,https://anilist.co/anime/11061,Forced AniList ID 11061; combined 1 TV season,9.3,Yes,,,,,,,
Summer time render [anilist:129201],Summer Time Rendering,25,8.3,"Action, Drama, Mystery, Supernatural, Thriller","Urban Fantasy, Primarily Teen Cast, Super Power, Rural, Coastal, Ensemble Cast, Shounen, Orphan, Male Protagonist, Religion",Finished,Manga,2022-04-15,2022-09-30,24,OLM,220932,"A sci-fi, summer story filled with suspense set on a small island with Shinpei Aijiro, whose childhood friend Ushio Kofune died. He returns to his hometown for the first time in two years for the funeral. Sou Hishigata, his best friend, suspects something's off with Ushio's death, and that someone can die next. A sinister omen is heard as an entire family next door suddenly disappears the following day. Furthermore, Mio implicates a ""shadow"" three days before Ushio's death. (Source: Disney+)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx129201-HJBauga2be8I.png,https://anilist.co/anime/129201,Forced AniList ID 129201; combined 1 TV season,9.2,Yes,,,,,,,
Code Geass,Code Geass: Lelouch of the Rebellion,50,8.6,"Action, Drama, Mecha, Sci-Fi, Thriller","Anti-Hero, War, Military, Class Struggle, Politics, Revenge, Super Power, Conspiracy, Philosophy, Male Protagonist, Terrorism, Real Robot",Finished,Original,2006-10-06,2008-09-28,24,Sunrise,490309,"On August 10th of the year 2010 the Holy Empire of Britannia began a campaign of conquest, its sights set on Japan. Operations were completed in one month thanks to Britannia's deployment of new mobile humanoid armor vehicles dubbed Knightmare Frames. Japan's rights and identity were stripped away, the once proud nation now referred to as Area 11. Its citizens, Elevens, are forced to scratch out a living while the Britannian aristocracy lives comfortably within their settlements. Pockets of resistance appear throughout Area 11, working towards independence for Japan. Lelouch, an exiled Imperial Prince of Britannia posing as a student, finds himself in the heart of the ongoing conflict for the island nation. Through a chance meeting with a mysterious girl named C.C., Lelouch gains his Geass, the power of the king. Now endowed with absolute dominance over any person, Lelouch may finally realize his goal of bringing down Britannia from within! (Source: Bandai Entertainment)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx1575-hsmWM2ydNm1m.jpg,https://anilist.co/anime/1575,Combined 2 TV seasons,9.2,Yes,,,,,,,
Gurren Lagann,Gurren Lagann,27,8.5,"Action, Comedy, Drama, Mecha, Romance, Sci-Fi","Super Robot, Coming of Age, Found Family, Male Protagonist, Dystopian, Philosophy, Travel, War, Time Skip",Finished,Original,2007-04-01,2007-09-30,24,Gainax,372469,"In a far away future, mankind lives underground in huge caves, unknowing of a world above with a sky and stars. In the small village of Jiha, Simon, a shy boy who works as a digger discovers a strange glowing object during excavation. The enterprising Kamina, a young man with a pair of rakish sunglasses and the passion of a firey sun, befriends Simon and forms a small band of brothers, the Gurren Brigade, to escape the village and break through the ceiling of the cave to reach the surface, which few believe exist. The village elder won't hear of such foolishness and punishes the Brigade. However, when disaster strikes from the world above and the entire village is in jeopardy, it's up to Simon, Kamina, a girl with a big gun named Yoko, and the small yet sturdy robot, Lagann, to save the day. The new friends journey to the world above and find that the surface is a harsh battlefield, and it's up to them to fight back against the rampaging Beastmen to turn the tide in the humans' favor! Pierce the heavens, Gurren Lagann!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx2001-XwRnjzGeFWRQ.png,https://anilist.co/anime/2001,Combined 1 TV season,9.2,Yes,,,,,,,
Ranking of kings,Ranking of Kings,33,8,"Action, Adventure, Drama, Fantasy","Disability, Ensemble Cast, Coming of Age, Fairy Tale, Male Protagonist, Language Barrier, Medieval, Achronological Order, Swordplay, Episodic, Monster Boy, Bullying",Finished,Manga,2021-10-15,2023-06-16,23,WIT STUDIO,220474,"Unable to hear, speak, or wield a sword, Prince Bojji doesn’t seem like a typical heir to the throne—and his kingdom agrees. But his fateful encounter with Kage, a shadow on the ground, gives him his first true friend. The two set off on a grand adventure and, together, form a bond that can overcome any obstacle...even being king. (Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx113717-9sNnN8WRgK15.jpg,https://anilist.co/anime/113717,Combined 2 TV seasons,9.2,Yes,,,,,,,
Akudama Drive,Akudama Drive,12,7.5,"Action, Drama, Sci-Fi, Thriller","Anti-Hero, Urban, Crime, Cyberpunk, Fugitive, Dystopian, Female Protagonist, Ensemble Cast, Primarily Adult Cast, Gore",Finished,Original,2020-10-08,2020-12-24,24,Studio Pierrot,162051,"Many years ago, a Great Civil War ravaged Japan, leaving the country fragmented between two regions: Kansai and Kanto. In Kansai, a group of six Akudama carry out missions given to them by a mysterious black cat, while evading the police. But a dangerous journey is about to unfold when a civilian girl becomes twisted into the Akudama’s way of life and witnesses their criminal drives. (Source: Funimation) Note: On May 28, 2021, a director's cut of the final episode was released which included approximately 5 minutes of new content.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx116566-PPIVQt359vQY.jpg,https://anilist.co/anime/116566,Combined 1 TV season,9.2,Yes,,,,,,,
Akame ga Kill,Akame ga Kill!,24,7.3,"Action, Adventure, Drama, Fantasy, Horror, Psychological, Thriller","Assassins, Politics, Shounen, Gore, Crime, Henshin, Swordplay, Anti-Hero, Super Power",Finished,Manga,2014-07-07,2014-12-15,24,WHITE FOX,531071,"In a land where corruption rules and a ruthless Prime Minister has turned the puppet Emperor's armies of soldiers, assassins and secret police against the people, only one force dares to stand against them: Night Raid, an elite team of relentless killers, each equipped with an Imperial Arm - legendary weapons with unique and incredible powers created in the distant past. Rescued from a fate worse than death by Night Raid, young Tatsumi is offered the chance to join their lethal ranks… but it's a deadly choice, as few can master an Imperial Arm and even fewer survive when two Arms go against each other in combat. The battle is on, and only the strongest will make it out alive. (Source: Sentai Filmworks)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20613-HXHpec4bemk5.jpg,https://anilist.co/anime/20613,Combined 1 TV season,9.1,Yes,,,,,,,
Super Crooks,Super Crooks,13,7.1,"Action, Drama, Supernatural, Thriller","Crime, Primarily Adult Cast, Super Power, Superhero, Anti-Hero, Prison, Foreign, Ensemble Cast, Heterosexual, Urban Fantasy",Finished,Other,2021-11-25,2021-11-25,25,bones,39645,"One last heist. That's what they all say, right? Just one final score, and everyone can retire and take up fishing. Thing is, the jails are filled with super villains who thought the same thing, and got busted. But the Heat's in a jam. He's run up the kind of gambling debt that - if he can't pay it back in cash - will be paid in blood. Nobody wants to see the most beloved supercrook of all time rubbed out by the mob - especially his biggest fan, Johnny Bolt. And Johnny's got a plan to help the Heat and make all his buddies disgustingly rich at the same time. Unfortunately for Johnny's recruits, they have to head to Spain and rob the world's most notorious super villain blind. And that's where things get tricky. (Source: Millar World)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx109946-S05QNnNplFV2.jpg,https://anilist.co/anime/109946,Combined 1 entry,9.1,Yes,,,,,,,
Bleach,Bleach,366,8,"Action, Adventure, Supernatural","Shounen, Swordplay, War, Super Power, Male Protagonist, Gods, Afterlife, Ghost, Exorcism, Urban Fantasy, Demons, Philosophy",Releasing,Manga,2004-10-05,2024-12-28,24,"Studio Pierrot, PIERROT FILMS",505560,"Ichigo Kurosaki is a rather normal high school student apart from the fact he has the ability to see ghosts. This ability never impacted his life in a major way until the day he encounters the Shinigami Kuchiki Rukia, who saves him and his family's lives from a Hollow, a corrupt spirit that devours human souls. Wounded during the fight against the Hollow, Rukia chooses the only option available to defeat the monster and passes her Shinigami powers to Ichigo. Now forced to act as a substitute until Rukia recovers, Ichigo hunts down the Hollows that plague his town.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx269-d2GmRkJbMopq.png,https://anilist.co/anime/269,Combined 5 TV seasons,9.1,Yes,,,,,,,
Tower of god ,Tower of God,39,6.9,"Action, Adventure, Drama, Fantasy, Mystery","Super Power, Male Protagonist, Conspiracy, Time Skip, Ensemble Cast, Magic, Criminal Organization, Cultivation, Anti-Hero, Shounen, Philosophy, Battle Royale",Finished,Manga,2020-04-02,2024-12-29,24,"Telecom Animation Film, The Answer Studio",331234,"There is a tower that summons chosen people called ""Regulars"" with the promise of granting their deepest desires. Whether it be wealth, fame, authority, or something that surpasses them all—everything awaits those who reach the top. Twenty-Fifth Bam is a boy who had only known a dark cave, a dirty cloth, and an unreachable light his entire life. So when a girl named Rachel came to him through the light, his entire world changed. Becoming close friends with Rachel, he learned various things about the outside world from her. But when Rachel says she must leave him to climb the Tower, his world shatters around him. Vowing to follow after her no matter what it takes, he sets his sight on the tower, and a miracle occurs. Thus begins the journey of Bam, a young boy who was not chosen by the Tower but opened its gates by himself. They call his kind ""Irregulars""—beings that have shaken the very foundation of the Tower each time they set foot inside it.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx115230-QHOdSN7yt8ab.jpg,https://anilist.co/anime/115230,Combined 2 TV seasons,9.1,Yes,,,,,,,
7 seeds,7SEEDS,12,6.3,"Action, Adventure, Drama, Horror, Mystery, Psychological, Romance, Sci-Fi","Ensemble Cast, Survival, Post-Apocalyptic, Environmental, Primarily Adult Cast, Outdoor Activities",Finished,Manga,2019-06-28,2019-06-28,25,GONZO,43900,"Scientists had predicted this disaster, and in response, the leaders of every country met to develop a plan for human survival before the meteor hit. The Seven Seeds project was developed out of this meeting. Each country froze a number of young healthy people, which allowed them to survive the meteor. After the computer determined that Earth was once again safe for human life, it released them into the world. The Japanese government created five groups of survivors: Winter group, Spring group, Summer group A, Summer group B, and Fall group. Each group consisted of seven members and one guide. The guide carried small tubes of poison on their necks to allow them to end their lives if their situation became unbearable. The Japanese government prepared seven ""Fuji"" as refuges for the groups. In each Fuji, the group would find seeds and numerous books instructing them on survival in the wilderness. It premiered on TV on January 14th, 2020.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx105807-Ivd7xc40XdGF.jpg,https://anilist.co/anime/105807,Combined 1 entry,9,Yes,,,,,,,
Berserk of gluttony,Boushoku no Berserk,12,6.7,"Action, Adventure, Drama, Fantasy, Romance","Magic, Male Protagonist, Swordplay, Travel",Finished,Light Novel,2023-10-02,2023-12-18,24,A.C.G.T.,97452,"Fate Graphite was born into a world where magical skills shape your destiny. His skill is Gluttony, a seemingly useless curse of unending hunger that has left him shunned and looked down upon. Until one day, after he takes the life of a thief, his true power awakens: he can devour the skill of anyone he kills to feed his appetite. Will he learn to control this gruesome ability for the better?  ",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx156039-JnepQcVxXLLW.jpg,https://anilist.co/anime/211495,Combined 2 TV seasons,9,Yes,,,,,,,
Dr Stone ,Dr. STONE,94,8.2,"Action, Adventure, Comedy, Sci-Fi","Post-Apocalyptic, Ensemble Cast, Survival, Shounen, Travel, Space, Lost Civilization, Educational, Male Protagonist, Time Skip, Foreign, War",Finished,Manga,2019-07-05,2026-06-25,24,TMS Entertainment,545861,"After five years of harboring unspoken feelings, high-schooler Taiju Ooki is finally ready to confess his love to Yuzuriha Ogawa. Just when Taiju begins his confession however, a blinding green light strikes the Earth and petrifies mankind around the world— turning every single human into stone. Several millennia later, Taiju awakens to find the modern world completely nonexistent, as nature has flourished in the years humanity stood still. Among a stone world of statues, Taiju encounters one other living human: his science-loving friend Senkuu, who has been active for a few months. Taiju learns that Senkuu has developed a grand scheme—to launch the complete revival of civilization with science. Taiju's brawn and Senkuu's brains combine to forge a formidable partnership, and they soon uncover a method to revive those petrified. However, Senkuu's master plan is threatened when his ideologies are challenged by those who awaken. All the while, the reason for mankind's petrification remains unknown. (Source: MAL Rewrite)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx105333-GybuoSoOZfpH.jpg,https://anilist.co/anime/105333,Combined 7 TV seasons,9,Yes,,,,,,,
Blue lock,Blue lock,38,7.8,"Action, Drama, Sports","Football, Male Protagonist, Shounen, Athletics, Primarily Male Cast, Battle Royale, Primarily Teen Cast, Ensemble Cast, CGI, Anti-Hero, Revenge",Not Yet Released,Manga,2022-10-09,2024-12-29,25,8-bit,317551,"Japan’s desire for World Cup glory leads the Japanese Football Association to launch a new rigorous training program to find the national team’s next striker. Three hundred high school players are pitted against each other for the position, but only one will come out on top. Who among them will be the striker to usher in a new era of Japanese soccer?  ",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx137822-U8naszP96vzC.png,https://anilist.co/anime/199404,Combined 3 TV seasons,9,Yes,,,,,,,
Seraph of the end,Seraph of the End: Vampire Reign,24,7.4,"Action, Drama, Fantasy, Mystery, Supernatural","Lost Civilization, Vampire, Post-Apocalyptic, Demons, Military, Urban Fantasy, War, Male Protagonist, Shounen, Time Skip, Rotoscoping, Swordplay",Finished,Manga,2015-04-04,2015-12-26,24,WIT STUDIO,323590,"The story takes place in a world where an unknown virus has killed the entire human population except for children under 13. Those children were then enslaved by vampires. The manga centers on Yuichiro Hyakuya, a human who dreams of becoming strong enough to kill all vampires. (Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20829-pgsXVjrfyI5V.png,https://anilist.co/anime/20829,Combined 2 TV seasons,9,Yes,,,,,,,
Delicious in dungeon,Delicious in Dungeon,24,8.5,"Adventure, Comedy, Fantasy","Dungeon, Food, Magic, Primarily Adult Cast, Ensemble Cast, Elf, Medieval, Environmental, Dragons",Finished,Manga,2024-01-04,2024-06-13,25,TRIGGER,219473,"When young adventurer Laios and his company are attacked and soundly thrashed by a dragon deep in a dungeon, the party loses all its money and provisions...and a member! They're eager to go back and save her, but there is just one problem: If they set out with no food or coin to speak of, they're sure to starve on the way! But Laios comes up with a brilliant idea: ""Let's eat the monsters!"" Slimes, basilisks, and even dragons...none are safe from the appetites of these dungeon-crawling gourmands! (Source: Yen Press) Note: A world premiere screening of Episode 1 was shown in the Studio TRIGGER panel at Anime Expo on July 1, 2023.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx153518-IVXPDY5ph3kO.jpg,https://anilist.co/anime/153518,Combined 1 TV season,8.9,Yes,,,,,,,
Parasyte ,Parasyte -the maxim-,24,8.1,"Action, Drama, Horror, Psychological, Sci-Fi","Body Horror, Shapeshifting, Survival, Philosophy, Male Protagonist, Seinen, Urban Fantasy, Super Power, Aliens, Anthropomorphism, Gore, Urban",Finished,Manga,2014-10-09,2015-03-26,24,MADHOUSE,493463,"They arrive in silence and darkness. They descend from the skies. They have a hunger for human flesh. They are everywhere. They are parasites, alien creatures who must invade–and take control of–a human host to survive. And once they have infected their victims, they can assume any deadly form they choose: monsters with giant teeth, winged demons, creatures with blades for hands. But most have chosen to conceal their lethal purpose behind ordinary human faces. So no one knows their secret–except an ordinary high school student. Shin is battling for control of his own body against an alien parasite, but can he find a way to warn humanity of the horrors to come? (Source: Del Rey)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20623-dUARfggnNDOe.jpg,https://anilist.co/anime/20623,Combined 1 TV season,8.9,Yes,,,,,,,
Dragon Ball ,Dragon Ball Z,825,8.5,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Supernatural","Super Power, Demons, Shounen, Henshin, Martial Arts, Aliens, Age Regression, Male Protagonist, Primarily Male Cast, Primarily Child Cast, Space, Travel",Not Yet Released,Manga,1986-02-26,,24,Toei Animation,254821,"A remastered version of Dragon Ball Z that adheres more to the manga's story. This version includes newly recorded dialog by the original voice actors, new sound effects, new OP/ED sequences, and a brand new HD video transfer.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx6033-TKDWyjZN3dXk.png,https://anilist.co/anime/6033,Matched AniList ID 6033; combined 8 TV seasons,8.9,Yes,,,,,,,
Dororo,Dororo,24,8.1,"Action, Adventure, Drama, Supernatural","Demons, Revenge, Disability, Curses, Swordplay, Samurai, Estranged Family, Youkai, Orphan, War, Parenthood, Male Protagonist",Finished,Manga,2019-01-07,2019-06-24,24,"MAPPA, Tezuka Productions",368992,"Dororo, a young orphan thief, meets Hyakkimaru, a powerful ronin. Hyakkimaru's father, a greedy feudal lord, had made a pact with 12 demons, offering his yet-unborn son's body parts in exchange for great power. Thus, Hyakkimaru - who was born without arms, legs, eyes, ears, a nose or a mouth - was abandoned in a river as a baby. Rescued and raised by Dr. Honma, who equips him with artificial limbs and teaches him sword-fighting techniques, Hyakkimaru discovers that each time he slays a demon, a piece of his body is restored. Now, he roams the war-torn countryside in search of demons.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx101347-TGaDwEYqLfm1.jpg,https://anilist.co/anime/101347,Combined 1 TV season,8.9,Yes,,,,,,,
Ragna crimson,Ragna Crimson,24,7.4,"Action, Adventure, Fantasy, Mystery","Dragons, Revenge, Shounen, Magic, Male Protagonist, Swordplay, Super Power",Finished,Manga,2023-10-01,2024-03-31,24,SILVER LINK.,110410,"Dragons reign terror over the earth, sea and sky. If sworn dragon hunters like Ragna are to have any hope of dealing death to these seemingly invincible, fire-breathing beasts, they must find a way to level the odds. Ragna teams up with a mysterious man named Crimson who has likewise sworn to stand against the dragons menacing the world. But although Crimson’s motivations may be mysterious, his goal and Ragna’s perfectly align, and together they’ll fight to vanquish the dragons once and for all. (Source: Sentai Filmworks) Note: The first episode aired with a runtime of ~47 minutes.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx146493-bThyDJ4ZmbfV.jpg,https://anilist.co/anime/146493,Combined 1 TV season,8.9,Yes,,,,,,,
To Be Hero X,To Be Hero X,24,8.5,"Action, Drama, Mystery, Supernatural","Superhero, Conspiracy, Urban Fantasy, Achronological Order, Super Power, Ensemble Cast, Mixed Media, Anti-Hero, CGI",Finished,Original,2025-04-06,2025-09-14,24,"Paper Plane Animation Studio, Studio LAN, Pb Animation",122704,"This is a world where heroes are created by people's trust, and the hero who gains the most trust is known as X. In this world, people's trust can be quantified through data, and these values are reflected on everyone's wrist. As long as one gains enough trust points, an ordinary person can possess superpowers and become a superhero who saves the world. However, the constantly changing trust values make the path of a hero full of uncertainties... (Source: Official To Be Hero X home page)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx156092-yHqgQZOF2mbg.jpg,https://anilist.co/anime/156092,Combined 1 entry,8.9,Yes,,,,,,,
Steins Gate ,Steins;Gate,24,8.9,"Drama, Psychological, Sci-Fi, Thriller","Time Manipulation, Time Loop, Denpa, Male Protagonist, Urban, Primarily Adult Cast, Philosophy, Chuunibyou, Dissociative Identities",Finished,Visual Novel,2011-04-06,2011-09-14,24,WHITE FOX,584600,"Self-proclaimed mad scientist Okabe Rintarou lives in a small room in Akihabara, where he invents ""future gadgets"" with fellow lab members Shiina Mayuri, his air-headed childhood friend, and Hashida Itaru, an otaku hacker. The three pass the time by tinkering with their latest creation, a ""Phone Microwave"" that can be controlled through text messages. The lab members soon face a string of mysterious incidents that lead to a game-changing discovery: the Phone Microwave can send emails to the past and thus alter history. Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe to the depths of scientific theory and human despair as he faces the dire consequences of changing the past.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx9253-tIUXF2gfU8Sg.jpg,https://anilist.co/anime/9253,Combined 1 TV season,8.8,Yes,,,,,,,
Chainsaw Man,Chainsaw Man,12,8.3,"Action, Drama, Horror, Supernatural","Demons, Monster Boy, Urban Fantasy, Male Protagonist, Gore, Tragedy, Shapeshifting, Body Horror, Psychosexual, Urban, Henshin, Shounen",Finished,Manga,2022-10-12,2022-12-28,25,MAPPA,616595,"Denji is a teenage boy living with a Chainsaw Devil named Pochita. Due to the debt his father left behind, he has been living a rock-bottom life while repaying his debt by harvesting devil corpses with Pochita. One day, Denji is betrayed and killed. As his consciousness fades, he makes a contract with Pochita and gets revived as ""Chainsaw Man"" — a man with a devil's heart. (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx127230-DdP4vAdssLoz.png,https://anilist.co/anime/127230,Combined 1 TV season,8.8,Yes,,,,,,,
Bungo stray dogs,Bungo Stray Dogs,60,8.2,"Action, Comedy, Mystery, Supernatural","Crime, Urban Fantasy, Anti-Hero, Super Power, Detective, Mafia, War, Seinen, Male Protagonist, Ensemble Cast, Classic Literature, Primarily Adult Cast",Finished,Manga,2016-04-07,2023-09-20,24,bones,414958,"Stalked by a beastly white tiger, Atsushi Nakajima has no idea that the menace lives inside him—a power that catches the attention of the Armed Detective Agency. Using inhuman abilities to combat crime, this team takes Atsushi under the wing of their most eccentric member, Dazai. Together, they tear through mafia-muddled mysteries while enemies keep an eye on the tiger’s lofty bounty. (Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21311-hAXyT8Yoh6G9.jpg,https://anilist.co/anime/21311,Combined 5 TV seasons,8.8,Yes,,,,,,,
Kaiji ,Kaiji - Ultimate Survivor,52,8.2,"Psychological, Thriller","Gambling, Survival, Class Struggle, Primarily Adult Cast, Seinen, Primarily Male Cast, Male Protagonist, Death Game, Philosophy, Slavery, Crime, Card Battle",Finished,Manga,2007-10-03,2011-09-28,24,MADHOUSE,97063,"Itou Kaiji is a bum who steals car emblems and slashes tires on what seems to be a regular basis. This routine changes one day when he is paid a visit by a man in a trench-coat. Once the two get talking, it seems that the visitor (Calling himself Endou) is a debt collector. The reason for his visit is an unpaid loan which Kaiji had previously co-signed for a work-mate (Furuhata Takeshi). The original loan was 300,000 yen and once Takeshi had disappeared, the loan then fell on Kaiji. Kaiji is then told of a way to clear the interest compounded debt (which stood at 3,850,000 yen), which involved getting on a boat with others in his position. Once on the boat the debtors would then have to gamble with loaned money, which would end with a few winning, and others getting into deeper debt and having to work to pay off their debts. After some coercion Kaiji accepts a position on the boat, in order to clear his debt and make a bit of money as well...",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx3002-BExanPfxp888.jpg,https://anilist.co/anime/3002,Combined 2 TV seasons,8.8,Yes,,,,,,,
Rurouni Kenshin [anilist:142877],Rurouni Kenshin (2023),48,7.5,"Action, Drama, Romance, Adventure","Swordplay, Historical, Samurai, Male Protagonist, Martial Arts, Shounen, Found Family, Assassins, Travel, Age Gap",Not Yet Released,Manga,2023-07-07,,23,"LIDENFILMS, Aniplex",60102,"Re-adaptation of the main manga series. One hundred and forty years ago in Kyoto, with the coming of the American ""Black Ships,"" there arose a warrior who, felling men with his bloodstained blade, gained the name Hitokiri, manslayer! His killer blade helped close the turbulent Bakumatsu era and slashed open the progressive age known as Meiji. Then he vanished, and with the flow of years, became legend. (Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx142877-FrXXLsgXYQAp.jpg,https://anilist.co/anime/142877,Forced AniList ID 142877; combined 3 TV seasons,8.8,Yes,,,,,,,
Shield hero,The Rising of the Shield Hero,62,7.1,"Action, Adventure, Fantasy","Anti-Hero, Isekai, Magic, Male Protagonist, Travel, Kemonomimi, Medieval, Revenge, Politics, Religion, Nekomimi, Martial Arts",Not Yet Released,Light Novel,2019-01-09,2025-09-24,24,Kinema Citrus,453390,"Naofumi Iwatani, an uncharismatic Otaku who spends his days on games and manga, suddenly finds himself summoned to a parallel universe! He discovers he is one of four heroes equipped with legendary weapons and tasked with saving the world from its prophesied destruction. As the Shield Hero, the weakest of the heroes, all is not as it seems. Naofumi is soon alone, penniless, and betrayed. With no one to turn to, and nowhere to run, he is left with only his shield. Now, Naofumi must rise to become the legendary Shield Hero and save the world! Note: - The first episode was pre-aired on December 27th, 2018. Regular broadcast began on January 9th, 2019. - The first episode aired with a runtime of ~47 minutes as opposed to the standard 24 minute long episode.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx99263-LcazQwdlWzMy.jpg,https://anilist.co/anime/99263,Combined 5 TV seasons,8.8,S4 ep 9,,,,,,,
Seven deadly sins,The Seven Deadly Sins,136,7,"Action, Adventure, Comedy, Ecchi, Fantasy, Supernatural","Magic, Shounen, Ensemble Cast, Demons, War, Super Power, Gods, Male Protagonist, Spearplay, Heterosexual, Age Gap, Fairy",Finished,Manga,2014-10-05,2024-12-31,24,"A-1 Pictures, Studio DEEN, Marvy Jack, Telecom Animation Film",521723,"When they were accused of trying to overthrow the monarchy, the feared warriors the Seven Deadly Sins were sent into exile. Princess Elizabeth discovers the truth - the Sins were framed by the king's guard, the Holy Knights - too late to prevent them from assassinating her father and seizing the throne! Now the princess is on the run, seeking the Sins to help her reclaim the kingdom. But the first Sin she meets, Meliodas, is a little innkeeper with a talking pig. He doesn't even have a real sword! Have the legends of the Sins' strength been exaggerated? (Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20789-Ma5ouSYPkru9.jpg,https://anilist.co/anime/20789,Combined 7 TV seasons,8.8,Yes,,,,,,,
Frieren: Beyond Journey’s End,Frieren: Beyond Journey’s End,38,9,"Adventure, Drama, Fantasy","Magic, Travel, Female Protagonist, Elf, Wilderness, Found Family, Philosophy, Medieval, Iyashikei, Episodic, Demons, Time Skip",Not Yet Released,Manga,2023-09-29,2026-03-27,24,MADHOUSE,464001,"The adventure is over but life goes on for an elf mage just beginning to learn what living is all about. Elf mage Frieren and her courageous fellow adventurers have defeated the Demon King and brought peace to the land. But Frieren will long outlive the rest of her former party. How will she come to understand what life means to the people around her? Decades after their victory, the funeral of one her friends confronts Frieren with her own near immortality. Frieren sets out to fulfill the last wishes of her comrades and finds herself beginning a new adventure… (Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154587-qQTzQnEJJ3oB.jpg,https://anilist.co/anime/154587,Combined 3 TV seasons,8.8,Yes,,,,,,,
